电信测试,#genre#
陕西卫视,http://182.123.78.44:8090/hls/36/index.m3u8
山西卫视,http://182.123.78.44:8090/hls/37/index.m3u8
北京纪实科教,http://182.123.78.44:8090/hls/38/index.m3u8
晋州新闻频道,http://182.123.78.44:8090/hls/40/index.m3u8

河南联通2,#genre#
CCTV-1HD,http://42.225.145.227:8089/hls/1/index.m3u8
CCTV-2HD,http://42.225.145.227:8089/hls/2/index.m3u8
CCTV-3HD,http://42.225.145.227:8089/hls/3/index.m3u8
CCTV-4HD,http://42.225.145.227:8089/hls/4/index.m3u8
CCTV-5HD,http://42.225.145.227:8089/hls/5/index.m3u8
CCTV-6HD,http://42.225.145.227:8089/hls/6/index.m3u8
CCTV-7HD,http://42.225.145.227:8089/hls/7/index.m3u8
CCTV-8HD,http://42.225.145.227:8089/hls/8/index.m3u8
CCTV-9HD,http://42.225.145.227:8089/hls/9/index.m3u8
CCTV-10HD,http://42.225.145.227:8089/hls/10/index.m3u8
CCTV-11HD,http://42.225.145.227:8089/hls/11/index.m3u8
CCTV-12HD,http://42.225.145.227:8089/hls/12/index.m3u8
CCTV-13HD,http://42.225.145.227:8089/hls/13/index.m3u8
CCTV-14HD,http://42.225.145.227:8089/hls/14/index.m3u8
CCTV-15HD,http://42.225.145.227:8089/hls/15/index.m3u8

河南卫视HD,http://42.225.145.227:8089/hls/17/index.m3u8
湖南卫视HD,http://42.225.145.227:8089/hls/30/index.m3u8
江苏卫视HD,http://42.225.145.227:8089/hls/31/index.m3u8
北京卫视HD,http://42.225.145.227:8089/hls/32/index.m3u8
浙江卫视HD,http://42.225.145.227:8089/hls/33/index.m3u8
东方卫视HD,http://42.225.145.227:8089/hls/34/index.m3u8
天津卫视,http://42.225.145.227:8089/hls/35/index.m3u8
山东卫视HD,http://42.225.145.227:8089/hls/36/index.m3u8
安徽卫视HD,http://42.225.145.227:8089/hls/37/index.m3u8
深圳卫视HD,http://42.225.145.227:8089/hls/38/index.m3u8
江西卫视HD,http://42.225.145.227:8089/hls/39/index.m3u8
